표적,시각,알수,현재,전체
nolja_0803,1661,2,65,65
nolja_0803,1663,2,59,65
nolja_0803,1832,2,55,65
nolja_0803,1833,1,56,65
nolja_0803,1835,1,63,65
nolja_0803,1839,10,1,73
nolja_0803,1840,10,73,73
nolja_0803,1841,4,71,73
nolja_0803,1842,3,69,73
nolja_0803,1843,5,68,73
nolja_0803,1844,4,68,73
nolja_0803,1845,3,65,73
nolja_0803,1847,7,62,73
nolja_0803,1848,10,30,73
nolja_0803,1852,7,3,71
nolja_0803,1853,6,4,71
nolja_0803,1855,9,7,71
nolja_0803,1857,9,10,71
nolja_0803,1859,9,13,71
nolja_0803,1861,7,16,71
nolja_0803,1862,7,18,71
nolja_0803,1864,8,21,71
nolja_0803,1865,5,23,71
nolja_0803,1868,9,28,71
nolja_0803,1871,8,33,71
nolja_0803,1872,10,39,71
nolja_0803,1874,8,38,71
nolja_0803,1876,2,42,71
nolja_0803,1879,8,47,71
nolja_0803,1882,9,53,71
nolja_0803,1883,10,54,71
nolja_0803,1887,9,61,71
nolja_0803,1888,9,63,71
nolja_0803,1891,10,66,71
nolja_0803,1892,4,70,71
nolja_0803,1894,10,2,71
nolja_0803,1895,8,3,71
nolja_0803,1901,1,1,65
nolja_0803,2109,13,3,19
nolja_0803,2113,1,2,121
nolja_0803,2116,2,16,121
nolja_0803,2118,2,26,121
nolja_0803,2124,2,53,121
nolja_0803,2129,1,74,121
nolja_0803,2130,2,78,121
nolja_0803,2133,2,89,121
nolja_0803,2142,3,76,76
nolja_0803,2143,4,75,76
nolja_0803,2145,10,72,76
nolja_0803,2146,8,71,76
nolja_0803,2147,11,39,76
nolja_0803,2149,9,67,76
nolja_0803,2150,8,66,76
nolja_0803,2151,9,65,76
nolja_0803,2152,10,64,76
nolja_0803,2154,10,61,76
nolja_0803,2156,9,59,76
nolja_0803,2157,9,56,76
nolja_0803,2158,8,56,76
nolja_0803,2160,9,64,76
nolja_0803,2161,7,53,76
nolja_0803,2163,8,50,76
nolja_0803,2165,2,47,76
nolja_0803,2166,3,46,76
nolja_0803,2168,3,43,76
nolja_0803,2169,4,41,76
nolja_0803,2171,8,39,76
nolja_0803,2173,12,36,76
nolja_0803,2175,7,33,76
nolja_0803,2176,8,32,76
nolja_0803,2177,6,30,76
nolja_0803,2178,10,29,76
nolja_0803,2180,7,26,76
nolja_0803,2182,5,23,76
nolja_0803,2184,9,20,76
nolja_0803,2189,2,64,65
nolja_0803,2195,2,113,121
nolja_0803,2196,2,88,121
nolja_0803,2372,2,69,121
nolja_0803,2373,2,90,121
nolja_0803,2374,2,33,161
nolja_0803,2376,2,105,121
nolja_0803,2380,2,119,121
nolja_0803,2381,2,114,121
nolja_0803,2386,2,77,121
nolja_0803,2393,10,1,73
nolja_0803,2394,11,2,73
nolja_0803,2397,8,6,73
nolja_0803,2398,9,7,73
nolja_0803,2399,10,8,73
nolja_0803,2400,8,9,73
nolja_0803,2403,7,13,73
nolja_0803,2404,7,14,73
nolja_0803,2405,13,15,73
nolja_0803,2407,7,18,73
nolja_0803,2408,7,19,73
nolja_0803,2410,9,22,73
nolja_0803,2411,8,23,73
nolja_0803,2412,7,24,73
nolja_0803,2414,8,27,73
nolja_0803,2415,10,28,73
nolja_0803,2416,8,29,73
nolja_0803,2417,13,30,73
nolja_0803,2418,8,31,73
nolja_0803,2420,4,34,73
nolja_0803,2421,6,39,73
nolja_0803,2423,5,36,73
nolja_0803,2424,4,39,73
nolja_0803,2426,6,48,73
nolja_0803,2427,7,43,73
nolja_0803,2430,9,47,73
nolja_0803,2432,11,50,73
nolja_0803,2433,7,51,73
nolja_0803,2435,8,54,73
nolja_0803,2436,7,55,73
nolja_0803,2438,10,58,73
nolja_0803,2439,8,30,73
nolja_0803,2443,6,65,73
nolja_0803,2445,9,56,73
nolja_0803,2446,10,69,73
nolja_0803,2448,6,72,73
nolja_0803,2453,1,1,121
nolja_0803,2456,2,101,121
nolja_0803,2458,1,80,121
nolja_0803,2664,1,76,121
nolja_0803,2668,2,107,121
nolja_0803,2669,2,111,121
nolja_0803,2673,2,120,121
nolja_0803,2683,10,1,73
nolja_0803,2684,3,73,73
nolja_0803,2685,6,72,73
nolja_0803,2686,6,71,73
nolja_0803,2687,7,70,73
nolja_0803,2688,10,69,73
nolja_0803,2689,8,62,73
nolja_0803,2692,8,64,73
nolja_0803,2693,9,63,73
nolja_0803,2694,10,62,73
nolja_0803,2695,10,61,73
nolja_0803,2696,7,60,73
nolja_0803,2697,11,59,73
nolja_0803,2698,11,58,73
nolja_0803,2699,6,57,73
nolja_0803,2700,9,56,73
nolja_0803,2701,7,55,73
nolja_0803,2703,10,1,109
nolja_0803,2704,10,2,109
nolja_0803,2705,10,3,109
nolja_0803,2706,13,4,109
nolja_0803,2707,11,5,109
nolja_0803,2712,9,11,105
nolja_0803,2713,7,12,109
nolja_0803,2714,9,13,109
nolja_0803,2715,10,14,109
nolja_0803,2716,8,15,109
nolja_0803,2717,10,16,109
nolja_0803,2718,11,17,109
nolja_0803,2719,10,18,109
nolja_0803,2720,10,19,109
nolja_0803,2721,9,20,109
nolja_0803,2724,8,23,109
nolja_0803,2725,10,24,109
nolja_0803,2729,9,29,105
nolja_0803,2730,10,30,109
nolja_0803,2731,10,31,109
nolja_0803,2732,9,32,109
nolja_0803,2733,7,33,109
nolja_0803,2734,9,34,109
nolja_0803,2735,8,35,109
nolja_0803,2736,10,36,109
nolja_0803,2737,7,37,109
nolja_0803,2738,10,38,109
nolja_0803,2739,11,38,109
nolja_0803,2740,11,38,109
nolja_0803,2914,2,120,121
nolja_0803,2920,1,119,121
nolja_0803,2923,2,109,121
nolja_0803,2926,2,36,121
nolja_0803,2930,2,66,121
nolja_0803,2931,1,62,121
nolja_0803,2942,9,1,103
nolja_0803,2943,11,2,103
nolja_0803,2947,7,69,103
nolja_0803,2951,10,38,103
nolja_0803,2952,13,39,103
nolja_0803,2953,10,90,103
nolja_0803,2954,9,41,103
nolja_0803,2955,13,42,103
nolja_0803,2956,9,43,103
nolja_0803,2957,11,44,103
nolja_0803,2959,11,97,103
nolja_0803,2960,4,48,103
nolja_0803,2963,5,52,103
nolja_0803,2964,6,53,103
nolja_0803,2966,8,56,103
nolja_0803,2967,7,57,103
nolja_0803,2968,7,39,103
nolja_0803,2970,9,61,103
nolja_0803,2971,10,63,103
nolja_0803,2973,9,65,103
nolja_0803,2974,11,63,103
nolja_0803,2976,8,89,103
nolja_0803,2978,7,72,103
nolja_0803,2979,10,73,103
nolja_0803,2981,7,76,103
nolja_0803,2982,8,78,103
nolja_0803,2984,10,80,103
nolja_0803,2986,8,83,103
nolja_0803,2988,6,86,103
nolja_0803,2989,10,87,103
nolja_0803,2990,10,87,103
nolja_0803,2991,10,87,103
nolja_0803,2992,9,87,103
nolja_0803,2993,10,87,103
nolja_0803,2994,10,87,103
nolja_0803,3000,1,8,121
nolja_0803,3002,2,13,121
nolja_0803,3003,2,26,121
nolja_0803,3172,2,36,121
nolja_0803,3178,10,1,97
nolja_0803,3188,9,88,97
nolja_0803,3189,8,87,97
nolja_0803,3190,10,86,97
nolja_0803,3191,11,35,97
nolja_0803,3192,11,34,97
nolja_0803,3193,7,83,97
nolja_0803,3194,10,81,97
nolja_0803,3197,11,2,131
nolja_0803,3198,11,3,131
nolja_0803,3199,11,4,131
nolja_0803,3200,9,5,131
nolja_0803,3201,8,6,131
nolja_0803,3202,10,7,131
nolja_0803,3203,8,8,131
nolja_0803,3204,9,9,131
nolja_0803,3205,10,10,131
nolja_0803,3206,10,11,131
nolja_0803,3207,8,12,131
nolja_0803,3208,9,13,131
nolja_0803,3209,13,14,131
nolja_0803,3210,10,15,131
nolja_0803,3211,10,16,131
nolja_0803,3212,11,17,131
nolja_0803,3213,11,18,131
nolja_0803,3214,9,19,131
nolja_0803,3218,8,24,131
nolja_0803,3219,9,25,131
nolja_0803,3220,8,26,131
nolja_0803,3221,10,27,131
nolja_0803,3222,8,28,131
nolja_0803,3223,8,90,131
nolja_0803,3228,10,35,131
nolja_0803,3229,9,36,131
nolja_0803,3230,10,37,131
nolja_0803,3231,9,38,131
nolja_0803,3232,7,39,131
nolja_0803,3233,11,40,131
nolja_0803,3234,7,41,131
nolja_0803,3235,8,42,131
nolja_0803,3236,8,43,131
nolja_0803,3240,12,98,131
nolja_0803,3243,7,50,131
nolja_0803,3244,8,50,131
nolja_0803,3249,2,4,161
nolja_0803,3252,2,38,121
nolja_0803,3487,12,3,19
nolja_0803,3492,1,2,176
nolja_0803,3496,2,16,176
nolja_0803,3502,11,1,132
nolja_0803,3504,11,130,132
nolja_0803,3505,10,129,132
nolja_0803,3506,10,129,132
nolja_0803,3507,8,128,132
nolja_0803,3509,10,124,132
nolja_0803,3510,7,123,132
nolja_0803,3512,8,120,132
nolja_0803,3513,8,119,132
nolja_0803,3515,9,116,132
nolja_0803,3516,9,115,132
nolja_0803,3519,9,111,132
nolja_0803,3521,10,108,132
nolja_0803,3522,8,107,132
nolja_0803,3524,12,104,132
nolja_0803,3526,10,101,132
nolja_0803,3528,11,98,132
nolja_0803,3529,11,39,129
nolja_0803,3530,9,95,132
nolja_0803,3531,10,94,132
nolja_0803,3533,6,91,132
nolja_0803,3535,8,88,132
nolja_0803,3537,11,85,132
nolja_0803,3538,11,23,132
nolja_0803,3539,8,82,132
nolja_0803,3540,8,81,132
nolja_0803,3542,7,78,132
nolja_0803,3544,5,75,132
nolja_0803,3546,6,72,132
nolja_0803,3547,7,70,132
nolja_0803,3548,6,69,132
nolja_0803,3549,6,68,132
nolja_0803,3550,10,66,132
nolja_0803,3551,10,65,132
nolja_0803,3553,10,62,132
nolja_0803,3555,9,59,132
nolja_0803,3557,9,56,132
nolja_0803,3558,9,55,132
nolja_0803,3559,8,54,132
nolja_0803,3560,8,53,132
nolja_0803,3561,11,61,132
nolja_0803,3562,7,50,132
nolja_0803,3568,2,11,122
nolja_0803,3750,2,18,176
nolja_0803,3756,11,1,19
nolja_0803,3759,12,3,19
nolja_0803,3760,10,4,19
nolja_0803,3761,8,5,19
nolja_0803,3762,9,6,19
nolja_0803,3763,9,7,19
nolja_0803,3764,9,8,19
nolja_0803,3765,8,9,19
nolja_0803,3769,8,12,19
nolja_0803,3770,9,14,19
nolja_0803,3772,9,16,19
nolja_0803,3773,8,17,19
nolja_0803,3774,8,16,19
nolja_0803,3775,13,19,19
nolja_0803,3781,2,1,107
nolja_0803,3782,1,107,107
nolja_0803,3785,1,103,107
nolja_0803,3786,2,102,107
nolja_0803,3787,2,101,107
nolja_0803,3788,2,100,107
