시리즈존,존전체곡수,번호,확정도,곡,판독,VOD시각
FIESTA~FIESTA 2,105,93,시각확정,키티 캣,재판독,22:22
FIESTA~FIESTA 2,105,94,시각확정,하드코어 오브 더 노스,재판독,22:23
FIESTA~FIESTA 2,105,95,시각확정,트라이브 어택커,재판독,22:24
FIESTA~FIESTA 2,105,96,시각확정,유토피아,재판독,22:25
FIESTA~FIESTA 2,105,97,시각확정,슈샤,재판독,22:26
FIESTA~FIESTA 2,105,98,화면에나옴,스타 커맨드,재판독,22:27
FIESTA~FIESTA 2,105,99,화면에나옴,왓 해픈드,재판독,22:28
FIESTA~FIESTA 2,105,100,화면에나옴,가고일,재판독,22:30
FIESTA~FIESTA 2,105,101,화면에나옴,알레그로 콘 뿌오코,재판독,22:34
FIESTA~FIESTA 2,105,102,화면에나옴,엑스 레이브,재판독,22:34
FIESTA~FIESTA 2,105,103,화면에나옴,스멜스 라이크 어 초콜릿,재판독,22:35
FIESTA~FIESTA 2,105,104,화면에나옴,네크로맨시,재판독,18:09
FIESTA~FIESTA 2,105,105,화면에나옴,엑스 레이브 - SHORT CUT -,재판독,18:09
PRIME,76,1,화면에나옴,네메시스,재판독,30:51
PRIME,76,2,화면에나옴,캇코이,재판독,30:52
PRIME,76,3,화면에나옴,라티노 바이러스,재판독,30:53
PRIME,76,4,시각확정,엘리시움,재판독,30:52
PRIME,76,5,화면에나옴,요그 소토스,재판독,30:53
PRIME,76,6,화면에나옴,실루엣 이펙트,재판독,30:54
PRIME,76,7,시각확정,차이니즈 레스토랑,재판독,30:54
PRIME,76,8,화면에나옴,아발란치,재판독,30:55
PRIME,76,9,화면에나옴,포스 오브 라,재판독,30:55
PRIME,76,10,시각확정,레퀴엠,재판독,30:56
PRIME,76,11,화면에나옴,유 갓 미 크레이지,재판독,30:57
PRIME,76,12,화면에나옴,B2,재판독,30:57
PRIME,76,13,시각확정,메테오라이즈,재판독,30:58
PRIME,76,14,화면에나옴,매드 사이언스,재판독,30:59
PRIME,76,15,화면에나옴,헤스티아,재판독,30:59
PRIME,76,16,시각확정,암피트리온,재판독,31:00
PRIME,76,17,화면에나옴,리키지 볼티지,재판독,31:00
PRIME,76,18,시각확정,리무버블 디스코,재판독,31:01
PRIME,76,19,화면에나옴,슈퍼 판타지,재판독,31:02
PRIME,76,20,화면에나옴,바이올렛 퍼퓸,재판독,31:02
PRIME,76,21,시각확정,레드 스완,재판독,31:03
PRIME,76,22,화면에나옴,히아신스,재판독,31:04
PRIME,76,23,시각확정,블레이즈 이모션 (Band version),재판독,31:04
PRIME,76,24,화면에나옴,1950,재판독,31:05
PRIME,76,25,화면에나옴,설탕음모론,재판독,31:05
PRIME,76,26,화면에나옴,알레그로 피유 모쏘,재판독,31:06
PRIME,76,27,화면에나옴,어나이얼레이터 메소드,재판독,31:07
PRIME,76,28,시각확정,무브 댓 바디!,재판독,31:07
PRIME,76,29,화면에나옴,스콜피온 킹,재판독,31:08
PRIME,76,30,화면에나옴,포인트 제로 원,재판독,31:08
PRIME,76,31,화면에나옴,레드 스노우,재판독,31:09
PRIME,76,32,화면에나옴,캄파넬라,재판독,31:09
PRIME,76,33,시각확정,유 어게인 마이 러브,재판독,31:10
PRIME,76,34,화면에나옴,로봇 배틀,재판독,31:11
PRIME,76,35,화면에나옴,레미니센스,재판독,31:11
PRIME,76,36,화면에나옴,모멘트 데이,재판독,31:12
PRIME,76,37,화면에나옴,브레이크 잇 다운,재판독,31:12
PRIME,76,38,시각확정,하이퍼큐브,재판독,31:13
PRIME,76,39,화면에나옴,라이크 미,재판독,31:14
PRIME,76,40,화면에나옴,베토벤 인플루엔자,재판독,36:09
PRIME,76,41,화면에나옴,아발란퀴엠,재판독,36:08
