level,songId,stepId,title,titleEn,artistEn,difficulty,effectiveLevel,voteDifficulty,voteStd,convergenceScore,specialRatio,special,defined,clearCount,totalCount,realClearCount,realTotalCount,breakOnRate,totalBreakOnRate,bpmMin,bpmMax,stepArtist,versionIdOfChart,isPremium,isRemix,deleted,disabled,tagIds,tagVals,imageUrl,youtubeUrl,youtubeUrl3rd
S20,68,325,큐리아서티 오버드라이브,Curiosity Overdrive,t+pazolite,S20,20.248489,0.275,0.075,0.622,0.0,False,True,1486,1567,179,255,0.702,0.9483,192,192,DulKi,7,False,False,False,False,5|14|2|6|12,9.033|1.200|0.700|0.533|0.333,https://piugame.com/data/song_img2/2cf6b048170d3446cbb27e722a1d805f.png?v=20260701145646,https://www.youtube.com/watch?v=cnM0Lsjmz_0,https://www.youtube.com/watch?v=wZA4FXjBpPY
S20,34,328,체이스 미,Chase Me,Dreamcatcher,S20,20.425225,0.708,0.093,0.61,0.0,False,True,1269,1381,76,144,0.5278,0.9189,200,200,NIMGO,5,False,False,False,False,5|6|3|14|12,7.700|2.867|2.033|1.700|0.700,https://piugame.com/data/song_img2/cd73da06e335afc98fac9e4609eedb2c.png?v=20260701145646,,https://www.youtube.com/watch?v=xKaQQImTQig
S20,72,407,굿바운스,GOODBOUNCE,EBIMAYO,S20,20.241564,0.5,0.0,0.6,0.0,False,True,1322,1379,109,155,0.7032,0.9587,180,180,SUNNY,7,False,False,False,False,6|5|3|2|0,3.417|2.917|2.083|0.583|0.000,https://piugame.com/data/song_img2/fb318d836ec65eca2c99728fee9f3dc9.png?v=20260701145646,https://www.youtube.com/watch?v=EPwsr6Doiow,https://www.youtube.com/watch?v=t7WWldzJA20
S20,90,433,시간의 회랑 라비린스,Kokugen Kairou Labyrinth,A:llha (ANE + 2riA),S20,20.242261,0.447,0.134,0.541,0.04878048780487805,False,True,1302,1411,94,181,0.5193,0.9227,215,215,CONRAD,6,False,False,False,False,5|14|0|2|12,11.617|4.533|1.783|0.833|0.533,https://piugame.com/data/song_img2/e6f6dc0021c7ff7a8a5bfbbf1d1795f6.png?v=20260701145646,https://www.youtube.com/watch?v=OEO-nvWXBR0,https://www.youtube.com/watch?v=sh8MwNsIYqk
S20,106,474,어콰이어,Acquire,ryhki,S20,21.065065,1.016,0.139,0.476,0.3,False,True,1017,1166,32,91,0.3516,0.8722,155,155,CONRAD,7,False,False,False,False,3|4|2|13|16,7.433|3.567|1.733|1.033|1.033,https://piugame.com/data/song_img2/b41eaa298c4c19f0dedc11e75271e353.png?v=20260701145646,https://www.youtube.com/watch?v=b9v5qaXXJe0,https://www.youtube.com/watch?v=zPNUC0mIJJY
S20,29,484,굿 나이트,GOOD NIGHT,Dreamcatcher,S20,20.447753,0.227,0.072,0.639,0.0,False,True,1215,1353,122,196,0.6224,0.898,196,196,NIMGO,5,False,False,False,False,5|14|1|12|0,7.667|3.667|0.333|0.333|0.000,https://piugame.com/data/song_img2/950bba94b66e30b4a33c794c204b2ac8.png?v=20260701145646,,https://www.youtube.com/watch?v=K262x08GEKA
S20,88,507,쇼다운,Showdown,litmus*,S20,19.909766,0.295,0.096,0.608,0.0,False,True,1403,1487,114,182,0.6264,0.9435,130,130,CONRAD,7,False,False,False,False,3|12|2|6|4,8.000|3.250|1.500|0.500|0.250,https://piugame.com/data/song_img2/7387703a9867124dd6159fd3ee0b8094.png?v=20260701145646,https://www.youtube.com/watch?v=SFwArdHVgtw,https://www.youtube.com/watch?v=cMsFUE4ocZo
S20,135,533,유토피아,Utopia,Smiley,S20,19.730984,0.182,0.154,0.208,0.6153846153846154,False,True,1007,1092,71,126,0.5635,0.9222,166,166,SUNNY,3,False,False,False,False,1|5|2|6|19,7.117|2.617|1.617|0.450|0.200,https://piugame.com/data/song_img2/00843a3856bebbb34316d9c8368e23a1.png?v=20260701145646,https://www.youtube.com/watch?v=Y3cEf9Hkh8Y,https://www.youtube.com/watch?v=fknpkONXzoo
S20,149,616,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)","Simon Says, EURODANCE!! (feat. Sara☆M)",Jehezukiel☆KAZEMURA☆Hideky,S20,21.02364,0.75,0.0,0.658,0.0,False,True,908,1029,19,67,0.2836,0.8824,157,157,CONRAD,7,False,False,False,False,2|5|10|0|1,2.000|0.500|0.500|0.000|0.000,https://piugame.com/data/song_img2/ecc05e7a2615a2a2770e4a8c5487eb4c.png?v=20260701145646,,https://www.youtube.com/watch?v=Gk8WLggbHNM
S20,63,631,베르사이유,Versailles,HyuN & MIIM,S20,21.268086,1.234,0.061,0.808,0.05,False,True,1042,1118,21,49,0.4286,0.932,160,175,CONRAD,7,False,False,False,False,2|6|5|3|0,4.817|4.650|4.150|1.450|0.733,https://piugame.com/data/song_img2/305329152cdd89f6229dec2a3074c18b.png?v=20260701145646,https://www.youtube.com/watch?v=3Cud97k9G3g,https://www.youtube.com/watch?v=oQpmFhnmT5U
S20,46,659,에너지 시너지 매트릭스,Energy Synergy Matrix,Tanchiky,S20,20.077956,0.432,0.111,0.564,0.0,False,True,1394,1450,108,149,0.7248,0.9614,160,160,DulKi,7,False,False,False,False,2|5|3|4|6,4.533|1.700|1.533|1.450|0.783,https://piugame.com/data/song_img2/9a9a1a662444b7305346e031dad8be2e.png?v=20260701145646,https://www.youtube.com/watch?v=w_ktCPD1csU,https://www.youtube.com/watch?v=tXYGNjxgZp4
S20,115,690,블루이쉬 로즈,Bluish Rose,WyvernP,S20,19.528561,-0.141,0.124,0.722,0.0,False,True,1552,1622,272,337,0.8071,0.9568,130,130,SUNNY,7,False,False,False,False,2|5|14|24|6,13.833|3.500|2.167|1.917|0.833,https://piugame.com/data/song_img2/03b6b88c054909e454b57dd7b7dfb831.png?v=20260701145646,https://www.youtube.com/watch?v=Z8xpY14oM4I,https://www.youtube.com/watch?v=4jHtsutVpzU
S20,174,691,지젤,Giselle,Sobrem a.k.a. Widowmaker,S20,19.321185,0.023,0.072,0.722,0.0,False,True,1396,1461,242,297,0.8148,0.9555,128,152,DulKi,7,True,False,False,False,2|3|6|10|12,5.750|3.417|0.333|0.333|0.333,https://piugame.com/data/song_img2/e75b6128293b5d17ca73a45d243d0a27.png?v=20260701145646,https://www.youtube.com/watch?v=3jCetC7pY-0,https://www.youtube.com/watch?v=eOnnjcudSiY
S20,176,697,크로스 소울,CROSS SOUL,HyuN feat. Syepias,S20,20.230521,0.5,0.0,0.6,0.0,False,True,1180,1240,90,130,0.6923,0.9516,200,200,NIMGO,6,False,False,False,False,5|0|14|6|1,4.167|2.000|2.000|0.833|0.000,https://piugame.com/data/song_img2/9a7a0e282cbd94c9c94f605979be9cc2.png?v=20260701145646,https://www.youtube.com/watch?v=qQlevsRlVAk,https://www.youtube.com/watch?v=SnKkLQdyScA
